ปี,จังหวัด,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)
2020,จันทบุรี,"399,169",35%,"204,862","1,948.48"
2020,ชุมพร,"315,552",28%,"196,158","1,608.66"
2020,ระยอง,"114,413",10%,"66,382","1,723.55"
2020,ตราด,"55,176",5%,"27,683","1,993.14"
2020,ยะลา,"53,023",5%,"53,621",988.85
2020,นครศรีธรรมราช,"51,750",5%,"53,670",964.23
2020,สุราษฎร์ธานี,"39,396",3%,"40,967",961.65
2020,ระนอง,"25,847",2%,"31,197",828.51
2020,อุตรดิตถ์,"21,012",2%,"37,549",559.59
2020,สงขลา,"11,772",1%,"14,805",795.14
2020,ประจวบคีรีขันธ์,"10,935",1%,"9,304","1,175.30"
2020,นราธิวาส,"9,344",1%,"23,622",395.56
2020,ปัตตานี,"3,993",0%,"5,405",738.76
2020,สุโขทัย,"3,770",0%,"7,259",519.36
2020,ศรีสะเกษ,"3,745",0%,"3,234","1,158.01"
2020,พังงา,"2,916",0%,"6,326",460.95
2020,ปราจีนบุรี,"1,883",0%,"1,905",988.45
2020,พัทลุง,"1,651",0%,"3,493",472.66
2020,กระบี่,"1,323",0%,"3,258",406.08
2020,กาญจนบุรี,"1,224",0%,"2,131",574.38
2020,ตรัง,945,0%,"1,736",544.35
2020,เพชรบูรณ์,742,0%,"1,256",590.76
2020,ภูเก็ต,742,0%,"2,485",298.59
2020,สตูล,642,0%,"1,250",513.6
2020,นครราชสีมา,576,0%,"1,409",408.8
2020,เพชรบุรี,475,0%,"1,520",312.5
2020,นครนายก,459,0%,584,785.96
2020,ชัยภูมิ,454,0%,746,608.58
2020,พิษณุโลก,416,0%,916,454.15
2020,อุบลราชธานี,351,0%,510,688.24
2020,บุรีรัมย์,317,0%,461,687.64
2020,ชลบุรี,280,0%,331,845.92
2020,แพร่,192,0%,553,347.2
2020,อุทัยธานี,176,0%,315,558.73
2020,สระบุรี,68,0%,180,377.78
2020,สุรินทร์,49,0%,108,453.7
2020,นนทบุรี,7,0%,183,38.25
2020,กาฬสินธุ์,2,0%,7,285.71
2020,ลพบุรี,2,0%,28,71.43
2020,สุพรรณบุรี,1,0%,59,16.95
