ปี,จังหวัด,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)
2019,จันทบุรี,"346,628",34%,"195,215","1,775.62"
2019,ชุมพร,"277,729",27%,"157,833","1,759.64"
2019,ระยอง,"108,093",10%,"64,469","1,676.67"
2019,ตราด,"48,158",5%,"26,133","1,842.80"
2019,นครศรีธรรมราช,"47,855",5%,"48,242",991.98
2019,สุราษฎร์ธานี,"45,825",4%,"39,039","1,173.83"
2019,ยะลา,"42,053",4%,"48,018",875.78
2019,ระนอง,"28,854",3%,"30,333",951.24
2019,อุตรดิตถ์,"22,837",2%,"35,237",648.1
2019,นราธิวาส,"14,023",1%,"24,795",565.56
2019,สงขลา,"12,209",1%,"14,382",848.91
2019,ประจวบคีรีขันธ์,"10,754",1%,"8,140","1,321.13"
2019,ปัตตานี,"4,642",0%,"4,909",945.61
2019,สุโขทัย,"3,731",0%,"6,177",604.01
2019,พังงา,"3,678",0%,"6,161",596.98
2019,ศรีสะเกษ,"3,227",0%,"2,918","1,105.89"
2019,ปราจีนบุรี,"1,623",0%,"1,574","1,031.13"
2019,พัทลุง,"1,490",0%,"3,346",445.31
2019,ตรัง,"1,234",0%,"2,077",594.13
2019,กาญจนบุรี,"1,193",0%,"2,121",562.47
2019,กระบี่,"1,003",0%,"2,194",457.16
2019,ภูเก็ต,854,0%,"2,317",368.58
2019,สตูล,691,0%,"1,249",553.24
2019,เพชรบูรณ์,668,0%,"1,051",635.59
2019,นครราชสีมา,553,0%,"1,246",443.82
2019,นครนายก,455,0%,449,"1,013.36"
2019,พิษณุโลก,427,0%,872,489.68
2019,ชัยภูมิ,400,0%,660,606.06
2019,แพร่,275,0%,656,419.21
2019,อุบลราชธานี,236,0%,335,704.48
2019,ชลบุรี,230,0%,231,995.67
2019,เพชรบุรี,162,0%,738,219.51
2019,บุรีรัมย์,146,0%,368,396.74
2019,อุทัยธานี,141,0%,182,774.73
2019,สระบุรี,65,0%,109,596.33
2019,สุรินทร์,31,0%,69,449.28
2019,สุพรรณบุรี,15,0%,49,306.12
2019,นนทบุรี,5,0%,130,38.46
2019,กาฬสินธุ์,2,0%,3,666.67
2019,ลพบุรี,1,0%,1,"1,000.00"
